iso3c,year,population
AFG,2002,21487079
AFG,2003,22507368
AFG,2004,23499850
AFG,2005,24399948
AFG,2006,25183615
AFG,2007,25877544
AFG,2008,26528741
AFG,2009,27207291
AFG,2010,27962207
AFG,2011,28809167
AFG,2012,29726803
AFG,2013,30682500
AFG,2014,31627506
ALB,2002,3051010
ALB,2003,3039616
ALB,2004,3026939
ALB,2005,3011487
ALB,2006,2992547
ALB,2007,2970017
ALB,2008,2947314
ALB,2009,2927519
ALB,2010,2913021
ALB,2011,2904780
ALB,2012,2900247
ALB,2013,2896652
ALB,2014,2893654
DZA,2002,31990387
DZA,2003,32394886
DZA,2004,32817225
DZA,2005,33267887
DZA,2006,33749328
DZA,2007,34261971
DZA,2008,34811059
DZA,2009,35401790
DZA,2010,36036159
DZA,2011,36717132
DZA,2012,37439427
DZA,2013,38186135
DZA,2014,38934334
AGO,2002,16109696
AGO,2003,16691395
AGO,2004,17295500
AGO,2005,17912942
AGO,2006,18541467
AGO,2007,19183907
AGO,2008,19842251
AGO,2009,20520103
AGO,2010,21219954
AGO,2011,21942296
AGO,2012,22685632
AGO,2013,23448202
AGO,2014,24227524
ATG,2002,80030
ATG,2003,80904
ATG,2004,81718
ATG,2005,82565
ATG,2006,83467
ATG,2007,84397
ATG,2008,85350
ATG,2009,86300
ATG,2010,87233
ATG,2011,88152
ATG,2012,89069
ATG,2013,89985
ATG,2014,90900
ARG,2002,37889443
ARG,2003,38309475
ARG,2004,38728778
ARG,2005,39145491
ARG,2006,39558750
ARG,2007,39969903
ARG,2008,40381860
ARG,2009,40798641
ARG,2010,41222875
ARG,2011,41655616
ARG,2012,42095224
ARG,2013,42538304
ARG,2014,42980026
ARM,2002,3047249
ARM,2003,3036420
ARM,2004,3025982
ARM,2005,3014917
ARM,2006,3002161
ARM,2007,2988117
ARM,2008,2975029
ARM,2009,2966108
ARM,2010,2963496
ARM,2011,2967984
ARM,2012,2978339
ARM,2013,2992192
ARM,2014,3006154
ABW,2002,94995
ABW,2003,97015
ABW,2004,98742
ABW,2005,100031
ABW,2006,100830
ABW,2007,101218
ABW,2008,101342
ABW,2009,101416
ABW,2010,101597
ABW,2011,101936
ABW,2012,102393
ABW,2013,102921
ABW,2014,103441
AZE,2002,8171950
AZE,2003,8234100
AZE,2004,8306500
AZE,2005,8391850
AZE,2006,8484550
AZE,2007,8581300
AZE,2008,8763400
AZE,2009,8947243
AZE,2010,9054332
AZE,2011,9173082
AZE,2012,9295784
AZE,2013,9416801
AZE,2014,9535079
BHS,2002,309170
BHS,2003,315757
BHS,2004,322539
BHS,2005,329243
BHS,2006,335801
BHS,2007,342259
BHS,2008,348587
BHS,2009,354780
BHS,2010,360830
BHS,2011,366711
BHS,2012,372388
BHS,2013,377841
BHS,2014,383054
BHR,2002,725365
BHR,2003,761595
BHR,2004,807989
BHR,2005,867014
BHR,2006,940808
BHR,2007,1026568
BHR,2008,1115777
BHR,2009,1196774
BHR,2010,1261319
BHR,2011,1306014
BHR,2012,1333577
BHR,2013,1349427
BHR,2014,1361930
BGD,2002,136228456
BGD,2003,138600174
BGD,2004,140843786
BGD,2005,142929979
BGD,2006,144839238
BGD,2007,146592687
BGD,2008,148252473
BGD,2009,149905836
BGD,2010,151616777
BGD,2011,153405612
BGD,2012,155257387
BGD,2013,157157394
BGD,2014,159077513
BRB,2002,271479
BRB,2003,272261
BRB,2004,273091
BRB,2005,274013
BRB,2006,275040
BRB,2007,276154
BRB,2008,277315
BRB,2009,278466
BRB,2010,279566
BRB,2011,280602
BRB,2012,281580
BRB,2013,282503
BRB,2014,283380
BLR,2002,9865000
BLR,2003,9797000
BLR,2004,9730000
BLR,2005,9663000
BLR,2006,9604000
BLR,2007,9560000
BLR,2008,9528000
BLR,2009,9507000
BLR,2010,9490000
BLR,2011,9473000
BLR,2012,9464000
BLR,2013,9466000
BLR,2014,9483000
BLZ,2002,262202
BLZ,2003,269132
BLZ,2004,276085
BLZ,2005,283279
BLZ,2006,290751
BLZ,2007,298403
BLZ,2008,306165
BLZ,2009,313925
BLZ,2010,321609
BLZ,2011,329193
BLZ,2012,336707
BLZ,2013,344193
BLZ,2014,351706
BEN,2002,7414744
BEN,2003,7665681
BEN,2004,7922796
BEN,2005,8182362
BEN,2006,8443717
BEN,2007,8707637
BEN,2008,8973525
BEN,2009,9240982
BEN,2010,9509798
BEN,2011,9779391
BEN,2012,10049792
BEN,2013,10322232
BEN,2014,10598482
BMU,2002,62912
BMU,2003,63325
BMU,2004,63740
BMU,2005,64154
BMU,2006,64523
BMU,2007,64888
BMU,2008,65273
BMU,2009,65636
BMU,2010,65124
BMU,2011,64564
BMU,2012,64798
BMU,2013,65001
BMU,2014,65139
BTN,2002,598421
BTN,2003,616474
BTN,2004,634235
BTN,2005,651163
BTN,2006,666920
BTN,2007,681471
BTN,2008,694990
BTN,2009,707830
BTN,2010,720246
BTN,2011,732246
BTN,2012,743711
BTN,2013,754637
BTN,2014,765008
BOL,2002,8653343
BOL,2003,8810420
BOL,2004,8967740
BOL,2005,9125405
BOL,2006,9283345
BOL,2007,9441482
BOL,2008,9599916
BOL,2009,9758799
BOL,2010,9918245
BOL,2011,10078238
BOL,2012,10238762
BOL,2013,10399931
BOL,2014,10561887
BIH,2002,3808347
BIH,2003,3817313
BIH,2004,3825872
BIH,2005,3833377
BIH,2006,3838504
BIH,2007,3840418
BIH,2008,3839749
BIH,2009,3837732
BIH,2010,3835258
BIH,2011,3832310
BIH,2012,3828419
BIH,2013,3823533
BIH,2014,3817554
BWA,2002,1786672
BWA,2003,1810438
BWA,2004,1835750
BWA,2005,1864003
BWA,2006,1895671
BWA,2007,1930431
BWA,2008,1967866
BWA,2009,2007212
BWA,2010,2047831
BWA,2011,2089706
BWA,2012,2132822
BWA,2013,2176510
BWA,2014,2219937
BRA,2002,181045592
BRA,2003,183627339
BRA,2004,186116363
BRA,2005,188479240
BRA,2006,190698241
BRA,2007,192784521
BRA,2008,194769696
BRA,2009,196701298
BRA,2010,198614208
BRA,2011,200517584
BRA,2012,202401584
BRA,2013,204259377
BRA,2014,206077898
BRN,2002,343383
BRN,2003,349557
BRN,2004,355700
BRN,2005,361889
BRN,2006,368150
BRN,2007,374459
BRN,2008,380786
BRN,2009,387080
BRN,2010,393302
BRN,2011,399443
BRN,2012,405512
BRN,2013,411499
BRN,2014,417394
BFA,2002,12290984
BFA,2003,12651596
BFA,2004,13028039
BFA,2005,13421929
BFA,2006,13834195
BFA,2007,14264002
BFA,2008,14709011
BFA,2009,15165856
BFA,2010,15632066
BFA,2011,16106851
BFA,2012,16590813
BFA,2013,17084554
BFA,2014,17589198
BDI,2002,7159918
BDI,2003,7401215
BDI,2004,7661613
BDI,2005,7934213
BDI,2006,8218070
BDI,2007,8514578
BDI,2008,8821795
BDI,2009,9137786
BDI,2010,9461117
BDI,2011,9790151
BDI,2012,10124572
BDI,2013,10465959
BDI,2014,10816860
KHM,2002,12681984
KHM,2003,12901217
KHM,2004,13112334
KHM,2005,13320058
KHM,2006,13525360
KHM,2007,13728700
KHM,2008,13933660
KHM,2009,14144337
KHM,2010,14363586
KHM,2011,14593099
KHM,2012,14832255
KHM,2013,15078564
KHM,2014,15328136
CMR,2002,16779434
CMR,2003,17218591
CMR,2004,17667576
CMR,2005,18126999
CMR,2006,18597109
CMR,2007,19078100
CMR,2008,19570418
CMR,2009,20074522
CMR,2010,20590666
CMR,2011,21119065
CMR,2012,21659488
CMR,2013,22211166
CMR,2014,22773014
CYM,2002,44742
CYM,2003,46032
CYM,2004,47299
CYM,2005,48623
CYM,2006,50028
CYM,2007,51480
CYM,2008,52925
CYM,2009,54285
CYM,2010,55509
CYM,2011,56580
CYM,2012,57522
CYM,2013,58369
CYM,2014,59172
CAF,2002,3859784
CAF,2003,3923294
CAF,2004,3987896
CAF,2005,4055608
CAF,2006,4127112
CAF,2007,4202104
CAF,2008,4280405
CAF,2009,4361492
CAF,2010,4444973
CAF,2011,4530903
CAF,2012,4619500
CAF,2013,4710678
CAF,2014,4804316
TCD,2002,9002102
TCD,2003,9353516
TCD,2004,9710498
TCD,2005,10067932
TCD,2006,10423616
TCD,2007,10779504
TCD,2008,11139740
TCD,2009,11510535
TCD,2010,11896380
TCD,2011,12298512
TCD,2012,12715465
TCD,2013,13145788
TCD,2014,13587053
CHL,2002,15544554
CHL,2003,15729268
CHL,2004,15913119
CHL,2005,16096571
CHL,2006,16279728
CHL,2007,16462701
CHL,2008,16645940
CHL,2009,16829957
CHL,2010,17015048
CHL,2011,17201305
CHL,2012,17388437
CHL,2013,17575833
CHL,2014,17762647
CHN,2002,1280400000
CHN,2003,1288400000
CHN,2004,1296075000
CHN,2005,1303720000
CHN,2006,1311020000
CHN,2007,1317885000
CHN,2008,1324655000
CHN,2009,1331260000
CHN,2010,1337705000
CHN,2011,1344130000
CHN,2012,1350695000
CHN,2013,1357380000
CHN,2014,1364270000
COL,2002,41572493
COL,2003,42152147
COL,2004,42724157
COL,2005,43285636
COL,2006,43835744
COL,2007,44374647
COL,2008,44901660
COL,2009,45416276
COL,2010,45918101
COL,2011,46406446
COL,2012,46881018
COL,2013,47342363
COL,2014,47791393
COM,2002,575428
COM,2003,589500
COM,2004,603869
COM,2005,618632
COM,2006,633814
COM,2007,649404
COM,2008,665414
COM,2009,681845
COM,2010,698695
COM,2011,715972
COM,2012,733661
COM,2013,751697
COM,2014,769991
COD,2002,50971407
COD,2003,52602208
COD,2004,54314855
COD,2005,56089536
COD,2006,57926840
COD,2007,59834875
COD,2008,61809278
COD,2009,63845097
COD,2010,65938712
COD,2011,68087376
COD,2012,70291160
COD,2013,72552861
COD,2014,74877030
COG,2002,3256867
COG,2003,3331564
COG,2004,3412592
COG,2005,3503086
COG,2006,3604595
COG,2007,3715665
COG,2008,3832771
COG,2009,3950786
COG,2010,4066078
COG,2011,4177435
COG,2012,4286188
COG,2013,4394334
COG,2014,4504962
CRI,2002,4063208
CRI,2003,4125970
CRI,2004,4187039
CRI,2005,4247843
CRI,2006,4308790
CRI,2007,4369465
CRI,2008,4429506
CRI,2009,4488261
CRI,2010,4545273
CRI,2011,4600487
CRI,2012,4654148
CRI,2013,4706433
CRI,2014,4757606
CIV,2002,17185421
CIV,2003,17491539
CIV,2004,17802516
CIV,2005,18132702
CIV,2006,18486392
CIV,2007,18862172
CIV,2008,19261647
CIV,2009,19684909
CIV,2010,20131707
CIV,2011,20604172
CIV,2012,21102641
CIV,2013,21622490
CIV,2014,22157107
HRV,2002,4440000
HRV,2003,4440000
HRV,2004,4439000
HRV,2005,4442000
HRV,2006,4440000
HRV,2007,4436000
HRV,2008,4434508
HRV,2009,4429078
HRV,2010,4417781
HRV,2011,4280622
HRV,2012,4267558
HRV,2013,4255689
HRV,2014,4238389
CUB,2002,11184540
CUB,2003,11214837
CUB,2004,11240680
CUB,2005,11261052
CUB,2006,11275199
CUB,2007,11284043
CUB,2008,11290239
CUB,2009,11297442
CUB,2010,11308133
CUB,2011,11323570
CUB,2012,11342631
CUB,2013,11362505
CUB,2014,11379111
CYP,2002,979883
CYP,2003,998150
CYP,2004,1015827
CYP,2005,1032586
CYP,2006,1048293
CYP,2007,1063040
CYP,2008,1077010
CYP,2009,1090486
CYP,2010,1103685
CYP,2011,1116644
CYP,2012,1129303
CYP,2013,1141652
CYP,2014,1153658
DJI,2002,745459
DJI,2003,756656
DJI,2004,767644
DJI,2005,778406
DJI,2006,788941
DJI,2007,799309
DJI,2008,809639
DJI,2009,820097
DJI,2010,830802
DJI,2011,841802
DJI,2012,853069
DJI,2013,864554
DJI,2014,876174
DMA,2002,69806
DMA,2003,70058
DMA,2004,70325
DMA,2005,70542
DMA,2006,70690
DMA,2007,70795
DMA,2008,70881
DMA,2009,70995
DMA,2010,71167
DMA,2011,71402
DMA,2012,71685
DMA,2013,72005
DMA,2014,72341
DOM,2002,8832286
DOM,2003,8967759
DOM,2004,9102997
DOM,2005,9237565
DOM,2006,9371333
DOM,2007,9504336
DOM,2008,9636491
DOM,2009,9767737
DOM,2010,9897983
DOM,2011,10027140
DOM,2012,10155036
DOM,2013,10281408
DOM,2014,10405943
ECU,2002,13072056
ECU,2003,13289600
ECU,2004,13509645
ECU,2005,13735232
ECU,2006,13967490
ECU,2007,14205479
ECU,2008,14447600
ECU,2009,14691310
ECU,2010,14934692
ECU,2011,15177280
ECU,2012,15419493
ECU,2013,15661312
ECU,2014,15902916
EGY,2002,70908710
EGY,2003,72247626
EGY,2004,73596068
EGY,2005,74942115
EGY,2006,76274285
EGY,2007,77605327
EGY,2008,78976122
EGY,2009,80442443
EGY,2010,82040994
EGY,2011,83787634
EGY,2012,85660902
EGY,2013,87613909
EGY,2014,89579670
SLV,2002,5874301
SLV,2003,5900929
SLV,2004,5925089
SLV,2005,5947206
SLV,2006,5967556
SLV,2007,5986414
SLV,2008,6004199
SLV,2009,6021368
SLV,2010,6038306
SLV,2011,6055208
SLV,2012,6072233
SLV,2013,6089644
SLV,2014,6107706
GNQ,2002,567664
GNQ,2003,586772
GNQ,2004,606201
GNQ,2005,625866
GNQ,2006,645718
GNQ,2007,665798
GNQ,2008,686223
GNQ,2009,707155
GNQ,2010,728710
GNQ,2011,750918
GNQ,2012,773729
GNQ,2013,797082
GNQ,2014,820885
ERI,2002,3788532
ERI,2003,3928408
ERI,2004,4064958
ERI,2005,4191273
ERI,2006,4304440
ERI,2007,4406299
ERI,2008,4500638
ERI,2009,4593549
ERI,2010,4689664
ERI,2011,4789568
ERI,2012,NA
ERI,2013,NA
ERI,2014,NA
ETH,2002,70391170
ETH,2003,72432290
ETH,2004,74506974
ETH,2005,76608431
ETH,2006,78735675
ETH,2007,80891968
ETH,2008,83079608
ETH,2009,85302099
ETH,2010,87561814
ETH,2011,89858696
ETH,2012,92191211
ETH,2013,94558374
ETH,2014,96958732
FJI,2002,815691
FJI,2003,816626
FJI,2004,818355
FJI,2005,821820
FJI,2006,827390
FJI,2007,834729
FJI,2008,843206
FJI,2009,851854
FJI,2010,859952
FJI,2011,867327
FJI,2012,874158
FJI,2013,880487
FJI,2014,886450
PYF,2002,245032
PYF,2003,248536
PYF,2004,251811
PYF,2005,254884
PYF,2006,257731
PYF,2007,260361
PYF,2008,262877
PYF,2009,265412
PYF,2010,268065
PYF,2011,270862
PYF,2012,273775
PYF,2013,276766
PYF,2014,279781
GAB,2002,1289192
GAB,2003,1318093
GAB,2004,1347524
GAB,2005,1377777
GAB,2006,1408920
GAB,2007,1440902
GAB,2008,1473741
GAB,2009,1507428
GAB,2010,1541936
GAB,2011,1577298
GAB,2012,1613489
GAB,2013,1650351
GAB,2014,1687673
GMB,2002,1307674
GMB,2003,1350345
GMB,2004,1394727
GMB,2005,1440542
GMB,2006,1487731
GMB,2007,1536424
GMB,2008,1586749
GMB,2009,1638899
GMB,2010,1693002
GMB,2011,1749099
GMB,2012,1807108
GMB,2013,1866878
GMB,2014,1928201
GEO,2002,4357000
GEO,2003,4301000
GEO,2004,4245000
GEO,2005,4190000
GEO,2006,4136000
GEO,2007,4082000
GEO,2008,4030000
GEO,2009,3978000
GEO,2010,3926000
GEO,2011,3875000
GEO,2012,3825000
GEO,2013,3776000
GEO,2014,3727000
GHA,2002,19788181
GHA,2003,20305396
GHA,2004,20840493
GHA,2005,21389514
GHA,2006,21951891
GHA,2007,22528041
GHA,2008,23115919
GHA,2009,23713164
GHA,2010,24317734
GHA,2011,24928503
GHA,2012,25544565
GHA,2013,26164432
GHA,2014,26786598
GRD,2002,102100
GRD,2003,102371
GRD,2004,102657
GRD,2005,102951
GRD,2006,103259
GRD,2007,103587
GRD,2008,103934
GRD,2009,104298
GRD,2010,104677
GRD,2011,105070
GRD,2012,105476
GRD,2013,105902
GRD,2014,106349
GTM,2002,12272208
GTM,2003,12573346
GTM,2004,12877711
GTM,2005,13183505
GTM,2006,13490041
GTM,2007,13797629
GTM,2008,14106687
GTM,2009,14418033
GTM,2010,14732261
GTM,2011,15049280
GTM,2012,15368759
GTM,2013,15690793
GTM,2014,16015494
GIN,2002,9114287
GIN,2003,9281572
GIN,2004,9464771
GIN,2005,9669023
GIN,2006,9898301
GIN,2007,10152521
GIN,2008,10427356
GIN,2009,10715770
GIN,2010,11012406
GIN,2011,11316351
GIN,2012,11628767
GIN,2013,11948726
GIN,2014,12275527
GNB,2002,1372367
GNB,2003,1401716
GNB,2004,1431816
GNB,2005,1462784
GNB,2006,1494603
GNB,2007,1527342
GNB,2008,1561293
GNB,2009,1596832
GNB,2010,1634196
GNB,2011,1673509
GNB,2012,1714620
GNB,2013,1757138
GNB,2014,1800513
GUY,2002,743107
GUY,2003,742537
GUY,2004,742162
GUY,2005,742495
GUY,2006,743705
GUY,2007,745638
GUY,2008,748096
GUY,2009,750749
GUY,2010,753362
GUY,2011,755883
GUY,2012,758410
GUY,2013,761033
GUY,2014,763893
HTI,2002,8834739
HTI,2003,8976555
HTI,2004,9119182
HTI,2005,9263409
HTI,2006,9409479
HTI,2007,9556958
HTI,2008,9705130
HTI,2009,9852953
HTI,2010,9999617
HTI,2011,10144890
HTI,2012,10288828
HTI,2013,10431249
HTI,2014,10572029
HND,2002,6499001
HND,2003,6626304
HND,2004,6753352
HND,2005,6880181
HND,2006,7007029
HND,2007,7133737
HND,2008,7259470
HND,2009,7383098
HND,2010,7503875
HND,2011,7621414
HND,2012,7736131
HND,2013,7849059
HND,2014,7961680
HKG,2002,6744100
HKG,2003,6730800
HKG,2004,6783500
HKG,2005,6813200
HKG,2006,6857100
HKG,2007,6916300
HKG,2008,6957800
HKG,2009,6972800
HKG,2010,7024200
HKG,2011,7071600
HKG,2012,7154600
HKG,2013,7187500
HKG,2014,7241700
IND,2002,1090189358
IND,2003,1108369577
IND,2004,1126419321
IND,2005,1144326293
IND,2006,1162088305
IND,2007,1179685631
IND,2008,1197070109
IND,2009,1214182182
IND,2010,1230984504
IND,2011,1247446011
IND,2012,1263589639
IND,2013,1279498874
IND,2014,1295291543
IDN,2002,217369087
IDN,2003,220307809
IDN,2004,223268606
IDN,2005,226254703
IDN,2006,229263980
IDN,2007,232296830
IDN,2008,235360765
IDN,2009,238465165
IDN,2010,241613126
IDN,2011,244808254
IDN,2012,248037853
IDN,2013,251268276
IDN,2014,254454778
IRN,2002,67696677
IRN,2003,68522074
IRN,2004,69321953
IRN,2005,70122115
IRN,2006,70923164
IRN,2007,71720859
IRN,2008,72530693
IRN,2009,73370982
IRN,2010,74253373
IRN,2011,75184322
IRN,2012,76156975
IRN,2013,77152445
IRN,2014,78143644
IRQ,2002,24943793
IRQ,2003,25630426
IRQ,2004,26320530
IRQ,2005,27017712
IRQ,2006,27716983
IRQ,2007,28423538
IRQ,2008,29163327
IRQ,2009,29970634
IRQ,2010,30868156
IRQ,2011,31867758
IRQ,2012,32957622
IRQ,2013,34107366
IRQ,2014,35273293
ISR,2002,6570000
ISR,2003,6689700
ISR,2004,6809000
ISR,2005,6930100
ISR,2006,7053700
ISR,2007,7180100
ISR,2008,7308800
ISR,2009,7485600
ISR,2010,7623600
ISR,2011,7765800
ISR,2012,7910500
ISR,2013,8059500
ISR,2014,8215700
JAM,2002,2615253
JAM,2003,2624695
JAM,2004,2634145
JAM,2005,2643601
JAM,2006,2653042
JAM,2007,2662481
JAM,2008,2671934
JAM,2009,2681386
JAM,2010,2690824
JAM,2011,2699838
JAM,2012,2707805
JAM,2013,2714669
JAM,2014,2720554
JOR,2002,4938935
JOR,2003,5042538
JOR,2004,5171633
JOR,2005,5332982
JOR,2006,5530218
JOR,2007,5759424
JOR,2008,6010035
JOR,2009,6266865
JOR,2010,6517912
JOR,2011,6760371
JOR,2012,6994451
JOR,2013,7214832
JOR,2014,7416083
KAZ,2002,14858948
KAZ,2003,14909018
KAZ,2004,15012985
KAZ,2005,15147029
KAZ,2006,15308084
KAZ,2007,15484192
KAZ,2008,15674000
KAZ,2009,16092701
KAZ,2010,16321581
KAZ,2011,16556600
KAZ,2012,16791425
KAZ,2013,17035275
KAZ,2014,17289224
KEN,2002,32691980
KEN,2003,33551079
KEN,2004,34437460
KEN,2005,35349040
KEN,2006,36286015
KEN,2007,37250540
KEN,2008,38244442
KEN,2009,39269988
KEN,2010,40328313
KEN,2011,41419954
KEN,2012,42542978
KEN,2013,43692881
KEN,2014,44863583
KIR,2002,87343
KIR,2003,88892
KIR,2004,90545
KIR,2005,92329
KIR,2006,94257
KIR,2007,96310
KIR,2008,98437
KIR,2009,100566
KIR,2010,102648
KIR,2011,104662
KIR,2012,106620
KIR,2013,108544
KIR,2014,110470
PRK,2002,23248053
PRK,2003,23449173
PRK,2004,23639296
PRK,2005,23813324
PRK,2006,23969897
PRK,2007,24111945
PRK,2008,24243829
PRK,2009,24371806
PRK,2010,24500506
PRK,2011,24631359
PRK,2012,24763353
PRK,2013,24895705
PRK,2014,25026772
KOR,2002,47622179
KOR,2003,47859311
KOR,2004,48039415
KOR,2005,48138077
KOR,2006,48371946
KOR,2007,48597652
KOR,2008,48948698
KOR,2009,49182038
KOR,2010,49410366
KOR,2011,49779440
KOR,2012,50004441
KOR,2013,50219669
KOR,2014,50423955
KSV,2002,1702310
KSV,2003,1703466
KSV,2004,1704622
KSV,2005,1705780
KSV,2006,1719536
KSV,2007,1733404
KSV,2008,1747383
KSV,2009,1761474
KSV,2010,1775680
KSV,2011,1790957
KSV,2012,1805200
KSV,2013,1818117
KSV,2014,1812771
KWT,2002,2042215
KWT,2003,2095993
KWT,2004,2166344
KWT,2005,2263604
KWT,2006,2389498
KWT,2007,2538591
KWT,2008,2705290
KWT,2009,2881243
KWT,2010,3059473
KWT,2011,3239181
KWT,2012,3419581
KWT,2013,3593689
KWT,2014,3753121
KGZ,2002,4990700
KGZ,2003,5043300
KGZ,2004,5104700
KGZ,2005,5162600
KGZ,2006,5218400
KGZ,2007,5268400
KGZ,2008,5318700
KGZ,2009,5383300
KGZ,2010,5447900
KGZ,2011,5514600
KGZ,2012,5607200
KGZ,2013,5719600
KGZ,2014,5835500
LAO,2002,5502340
LAO,2003,5579003
LAO,2004,5658894
LAO,2005,5745012
LAO,2006,5838837
LAO,2007,5939634
LAO,2008,6045439
LAO,2009,6153153
LAO,2010,6260544
LAO,2011,6366909
LAO,2012,6473050
LAO,2013,6579985
LAO,2014,6689300
LBN,2002,3522842
LBN,2003,3701464
LBN,2004,3863271
LBN,2005,3986865
LBN,2006,4057041
LBN,2007,4085426
LBN,2008,4109389
LBN,2009,4181742
LBN,2010,4337156
LBN,2011,4591698
LBN,2012,4924257
LBN,2013,5286990
LBN,2014,5612096
LSO,2002,1885488
LSO,2003,1898778
LSO,2004,1912042
LSO,2005,1925844
LSO,2006,1940345
LSO,2007,1955656
LSO,2008,1972194
LSO,2009,1990413
LSO,2010,2010586
LSO,2011,2032950
