iso3c,year,population
LSO,2012,2057331
LSO,2013,2083061
LSO,2014,2109197
LBR,2002,3070673
LBR,2003,3124222
LBR,2004,3184643
LBR,2005,3269786
LBR,2006,3384804
LBR,2007,3522337
LBR,2008,3672782
LBR,2009,3821498
LBR,2010,3957990
LBR,2011,4079574
LBR,2012,4190155
LBR,2013,4293692
LBR,2014,4396554
LBY,2002,5518341
LBY,2003,5609166
LBY,2004,5703224
LBY,2005,5801543
LBY,2006,5907149
LBY,2007,6017794
LBY,2008,6123022
LBY,2009,6208680
LBY,2010,6265697
LBY,2011,6288652
LBY,2012,6283403
LBY,2013,6265987
LBY,2014,6258984
MAC,2002,444178
MAC,2003,450754
MAC,2004,458579
MAC,2005,468149
MAC,2006,479728
MAC,2007,493022
MAC,2008,507274
MAC,2009,521405
MAC,2010,534626
MAC,2011,546682
MAC,2012,557763
MAC,2013,568056
MAC,2014,577914
MDG,2002,16736029
MDG,2003,17245275
MDG,2004,17763367
MDG,2005,18290394
MDG,2006,18826129
MDG,2007,19371031
MDG,2008,19926798
MDG,2009,20495706
MDG,2010,21079532
MDG,2011,21678867
MDG,2012,22293720
MDG,2013,22924557
MDG,2014,23571713
MWI,2002,11788731
MWI,2003,12090476
MWI,2004,12407618
MWI,2005,12747846
MWI,2006,13112383
MWI,2007,13498377
MWI,2008,13904671
MWI,2009,14329056
MWI,2010,14769824
MWI,2011,15226813
MWI,2012,15700436
MWI,2013,16190126
MWI,2014,16695253
MYS,2002,24401977
MYS,2003,24869423
MYS,2004,25332026
MYS,2005,25796124
MYS,2006,26263048
MYS,2007,26730607
MYS,2008,27197419
MYS,2009,27661017
MYS,2010,28119500
MYS,2011,28572970
MYS,2012,29021940
MYS,2013,29465372
MYS,2014,29901997
MDV,2002,297000
MDV,2003,304000
MDV,2004,312000
MDV,2005,321000
MDV,2006,333000
MDV,2007,349000
MDV,2008,362000
MDV,2009,360000
MDV,2010,367000
MDV,2011,377000
MDV,2012,385000
MDV,2013,393000
MDV,2014,401000
MLI,2002,11723017
MLI,2003,12088867
MLI,2004,12474857
MLI,2005,12881384
MLI,2006,13309942
MLI,2007,13759226
MLI,2008,14223403
MLI,2009,14694565
MLI,2010,15167286
MLI,2011,15639115
MLI,2012,16112333
MLI,2013,16592097
MLI,2014,17086022
MLT,2002,395969
MLT,2003,398582
MLT,2004,401268
MLT,2005,403834
MLT,2006,405308
MLT,2007,406724
MLT,2008,409379
MLT,2009,412477
MLT,2010,414508
MLT,2011,416268
MLT,2012,419455
MLT,2013,423374
MLT,2014,427364
MHL,2002,52161
MHL,2003,52115
MHL,2004,52074
MHL,2005,52058
MHL,2006,52080
MHL,2007,52136
MHL,2008,52221
MHL,2009,52321
MHL,2010,52428
MHL,2011,52541
MHL,2012,52663
MHL,2013,52786
MHL,2014,52898
MRT,2002,2884672
MRT,2003,2974686
MRT,2004,3064882
MRT,2005,3154087
MRT,2006,3241762
MRT,2007,3328285
MRT,2008,3414552
MRT,2009,3501927
MRT,2010,3591400
MRT,2011,3683221
MRT,2012,3777067
MRT,2013,3872684
MRT,2014,3969625
MUS,2002,1204621
MUS,2003,1213370
MUS,2004,1221003
MUS,2005,1228254
MUS,2006,1233996
MUS,2007,1239630
MUS,2008,1244121
MUS,2009,1247429
MUS,2010,1250400
MUS,2011,1252404
MUS,2012,1255882
MUS,2013,1258653
MUS,2014,1260934
MEX,2002,105578297
MEX,2003,106888418
MEX,2004,108257822
MEX,2005,109747906
MEX,2006,111382857
MEX,2007,113139374
MEX,2008,114972821
MEX,2009,116815612
MEX,2010,118617542
MEX,2011,120365271
MEX,2012,122070963
MEX,2013,123740109
MEX,2014,125385833
FSM,2002,106983
FSM,2003,106816
FSM,2004,106575
FSM,2005,106198
FSM,2006,105680
FSM,2007,105080
FSM,2008,104472
FSM,2009,103961
FSM,2010,103619
FSM,2011,103476
FSM,2012,103516
FSM,2013,103718
FSM,2014,104044
MDA,2002,3623062
MDA,2003,3612874
MDA,2004,3603945
MDA,2005,3595187
MDA,2006,3585209
MDA,2007,3576910
MDA,2008,3570108
MDA,2009,3565604
MDA,2010,3562045
MDA,2011,3559986
MDA,2012,3559519
MDA,2013,3558566
MDA,2014,3556397
MNG,2002,2443503
MNG,2003,2469045
MNG,2004,2496621
MNG,2005,2526447
MNG,2006,2558484
MNG,2007,2592776
MNG,2008,2629666
MNG,2009,2669572
MNG,2010,2712657
MNG,2011,2759074
MNG,2012,2808339
MNG,2013,2859174
MNG,2014,2909871
MNE,2002,609828
MNE,2003,612267
MNE,2004,613353
MNE,2005,614261
MNE,2006,615025
MNE,2007,615875
MNE,2008,616969
MNE,2009,618294
MNE,2010,619428
MNE,2011,620079
MNE,2012,620601
MNE,2013,621207
MNE,2014,621810
MAR,2002,29535591
MAR,2003,29812685
MAR,2004,30093109
MAR,2005,30385479
MAR,2006,30691434
MAR,2007,31011322
MAR,2008,31350544
MAR,2009,31714958
MAR,2010,32107739
MAR,2011,32531964
MAR,2012,32984190
MAR,2013,33452686
MAR,2014,33921203
MOZ,2002,19348715
MOZ,2003,19928496
MOZ,2004,20523159
MOZ,2005,21126676
MOZ,2006,21737860
MOZ,2007,22359637
MOZ,2008,22994867
MOZ,2009,23647815
MOZ,2010,24321457
MOZ,2011,25016921
MOZ,2012,25732928
MOZ,2013,26467180
MOZ,2014,27216276
MMR,2002,48689952
MMR,2003,49151958
MMR,2004,49582751
MMR,2005,49984704
MMR,2006,50355559
MMR,2007,50698814
MMR,2008,51030006
MMR,2009,51369725
MMR,2010,51733013
MMR,2011,52125411
MMR,2012,52543841
MMR,2013,52983829
MMR,2014,53437159
NAM,2002,1957749
NAM,2003,1980531
NAM,2004,2002745
NAM,2005,2027026
NAM,2006,2053915
NAM,2007,2083174
NAM,2008,2115703
NAM,2009,2152357
NAM,2010,2193643
NAM,2011,2240161
NAM,2012,2291645
NAM,2013,2346592
NAM,2014,2402858
NPL,2002,24516969
NPL,2003,24868900
NPL,2004,25198130
NPL,2005,25506847
NPL,2006,25794344
NPL,2007,26063619
NPL,2008,26325183
NPL,2009,26592666
NPL,2010,26875910
NPL,2011,27179237
NPL,2012,27500515
NPL,2013,27834981
NPL,2014,28174724
NCL,2002,221490
NCL,2003,225000
NCL,2004,228000
NCL,2005,231000
NCL,2006,235000
NCL,2007,238000
NCL,2008,242000
NCL,2009,245000
NCL,2010,250000
NCL,2011,254000
NCL,2012,259000
NCL,2013,263000
NCL,2014,268000
NIC,2002,5171736
NIC,2003,5240876
NIC,2004,5309703
NIC,2005,5379327
NIC,2006,5450217
NIC,2007,5522119
NIC,2008,5594524
NIC,2009,5666595
NIC,2010,5737722
NIC,2011,5807787
NIC,2012,5877034
NIC,2013,5945646
NIC,2014,6013913
NER,2002,12075991
NER,2003,12526725
NER,2004,12996012
NER,2005,13485436
NER,2006,13995530
NER,2007,14527631
NER,2008,15085130
NER,2009,15672194
NER,2010,16291990
NER,2011,16946485
NER,2012,17635782
NER,2013,18358863
NER,2014,19113728
NGA,2002,129246283
NGA,2003,132581484
NGA,2004,136033321
NGA,2005,139611303
NGA,2006,143318011
NGA,2007,147152502
NGA,2008,151115683
NGA,2009,155207145
NGA,2010,159424742
NGA,2011,163770669
NGA,2012,168240403
NGA,2013,172816517
NGA,2014,177475986
MNP,2002,68499
MNP,2003,67562
MNP,2004,66143
MNP,2005,64372
MNP,2006,62235
MNP,2007,59791
MNP,2008,57343
MNP,2009,55276
MNP,2010,53860
MNP,2011,53234
MNP,2012,53314
MNP,2013,53869
MNP,2014,54541
OMN,2002,2323203
OMN,2003,2385075
OMN,2004,2448194
OMN,2005,2506891
OMN,2006,2553376
OMN,2007,2593750
OMN,2008,2652281
OMN,2009,2762073
OMN,2010,2943747
OMN,2011,3210003
OMN,2012,3545192
OMN,2013,3906912
OMN,2014,4236057
PAK,2002,144271586
PAK,2003,147251530
PAK,2004,150267989
PAK,2005,153356383
PAK,2006,156524189
PAK,2007,159767672
PAK,2008,163096985
PAK,2009,166520983
PAK,2010,170043918
PAK,2011,173669648
PAK,2012,177392252
PAK,2013,181192646
PAK,2014,185044286
PLW,2002,19575
PLW,2003,19700
PLW,2004,19805
PLW,2005,19907
PLW,2006,20012
PLW,2007,20118
PLW,2008,20227
PLW,2009,20344
PLW,2010,20470
PLW,2011,20606
PLW,2012,20756
PLW,2013,20919
PLW,2014,21097
PAN,2002,3144728
PAN,2003,3202511
PAN,2004,3260611
PAN,2005,3319301
PAN,2006,3378600
PAN,2007,3438398
PAN,2008,3498679
PAN,2009,3559401
PAN,2010,3620506
PAN,2011,3681979
PAN,2012,3743761
PAN,2013,3805683
PAN,2014,3867535
PNG,2002,5653284
PNG,2003,5795571
PNG,2004,5940048
PNG,2005,6086905
PNG,2006,6236158
PNG,2007,6387470
PNG,2008,6540267
PNG,2009,6693799
PNG,2010,6847517
PNG,2011,7001172
PNG,2012,7154870
PNG,2013,7308864
PNG,2014,7463577
PRY,2002,5508615
PRY,2003,5607948
PRY,2004,5703742
PRY,2005,5795493
PRY,2006,5882797
PRY,2007,5966160
PRY,2008,6047131
PRY,2009,6127847
PRY,2010,6209877
PRY,2011,6293763
PRY,2012,6379162
PRY,2013,6465669
PRY,2014,6552518
PER,2002,26601463
PER,2003,26937737
PER,2004,27273188
PER,2005,27610406
PER,2006,27949958
PER,2007,28292768
PER,2008,28642048
PER,2009,29001563
PER,2010,29373644
PER,2011,29759891
PER,2012,30158768
PER,2013,30565461
PER,2014,30973148
PHL,2002,81294378
PHL,2003,82971734
PHL,2004,84596249
PHL,2005,86141373
PHL,2006,87592899
PHL,2007,88965508
PHL,2008,90297115
PHL,2009,91641881
PHL,2010,93038902
PHL,2011,94501233
PHL,2012,96017322
PHL,2013,97571676
PHL,2014,99138690
QAT,2002,634388
QAT,2003,668165
QAT,2004,732096
QAT,2005,836924
QAT,2006,988448
QAT,2007,1178955
QAT,2008,1388962
QAT,2009,1591151
QAT,2010,1765513
QAT,2011,1905437
QAT,2012,2015624
QAT,2013,2101288
QAT,2014,2172065
RWA,2002,8539029
RWA,2003,8686469
RWA,2004,8828956
RWA,2005,9008230
RWA,2006,9231041
RWA,2007,9481083
RWA,2008,9750314
RWA,2009,10024594
RWA,2010,10293669
RWA,2011,10556429
RWA,2012,10817350
RWA,2013,11078095
RWA,2014,11341544
WSM,2002,176592
WSM,2003,177677
WSM,2004,178794
WSM,2005,179928
WSM,2006,181072
WSM,2007,182238
WSM,2008,183440
WSM,2009,184700
WSM,2010,186029
WSM,2011,187434
WSM,2012,188901
WSM,2013,190390
WSM,2014,191845
STP,2002,143085
STP,2003,146357
STP,2004,149732
STP,2005,153146
STP,2006,156584
STP,2007,160064
STP,2008,163595
STP,2009,167196
STP,2010,170880
STP,2011,174646
STP,2012,178484
STP,2013,182386
STP,2014,186342
SAU,2002,22668102
SAU,2003,23357887
SAU,2004,24055573
SAU,2005,24745230
SAU,2006,25419994
SAU,2007,26083522
SAU,2008,26742842
SAU,2009,27409491
SAU,2010,28090647
SAU,2011,28788438
SAU,2012,29496047
SAU,2013,30201051
SAU,2014,30886545
SEN,2002,10389457
SEN,2003,10673320
SEN,2004,10967016
SEN,2005,11268994
SEN,2006,11578430
SEN,2007,11897230
SEN,2008,12229703
SEN,2009,12581624
SEN,2010,12956791
SEN,2011,13357003
SEN,2012,13780108
SEN,2013,14221041
SEN,2014,14672557
SRB,2002,7496522
SRB,2003,7480591
SRB,2004,7463157
SRB,2005,7440769
SRB,2006,7411569
SRB,2007,7381579
SRB,2008,7350222
SRB,2009,7320807
SRB,2010,7291436
SRB,2011,7234099
SRB,2012,7199077
SRB,2013,7164132
SRB,2014,7130576
SYC,2002,83700
SYC,2003,82800
SYC,2004,82500
SYC,2005,82900
SYC,2006,84600
SYC,2007,85033
SYC,2008,86956
SYC,2009,87298
SYC,2010,89770
SYC,2011,87441
SYC,2012,88303
SYC,2013,89900
SYC,2014,91400
SLE,2002,4422154
SLE,2003,4647701
SLE,2004,4870467
SLE,2005,5071271
SLE,2006,5243214
SLE,2007,5391108
SLE,2008,5521838
SLE,2009,5647194
SLE,2010,5775902
SLE,2011,5908908
SLE,2012,6043157
SLE,2013,6178859
SLE,2014,6315627
SGP,2002,4175950
SGP,2003,4114826
SGP,2004,4166664
SGP,2005,4265762
SGP,2006,4401365
SGP,2007,4588599
SGP,2008,4839396
SGP,2009,4987573
SGP,2010,5076732
SGP,2011,5183688
SGP,2012,5312437
SGP,2013,5399162
SGP,2014,5469724
SVN,2002,1994530
SVN,2003,1995733
SVN,2004,1997012
SVN,2005,2000474
SVN,2006,2006868
SVN,2007,2018122
SVN,2008,2021316
SVN,2009,2039669
SVN,2010,2048583
SVN,2011,2052843
SVN,2012,2057159
SVN,2013,2059953
SVN,2014,2061980
SLB,2002,434893
SLB,2003,446352
SLB,2004,457841
SLB,2005,469306
SLB,2006,480716
SLB,2007,492075
SLB,2008,503410
SLB,2009,514767
SLB,2010,526177
SLB,2011,537648
SLB,2012,549162
SLB,2013,560685
SLB,2014,572171
SOM,2002,7827203
SOM,2003,8039104
SOM,2004,8251054
SOM,2005,8466938
SOM,2006,8686939
SOM,2007,8909015
SOM,2008,9132589
SOM,2009,9356827
SOM,2010,9581714
SOM,2011,9806670
SOM,2012,10033630
SOM,2013,10268157
SOM,2014,10517569
ZAF,2002,45448096.07
ZAF,2003,46034026.23
ZAF,2004,46641102.97
ZAF,2005,47270062.72
ZAF,2006,47921682.32
ZAF,2007,48596781.01
ZAF,2008,49296222.56
ZAF,2009,50020917.52
ZAF,2010,50771825.58
ZAF,2011,51549958.08
ZAF,2012,52356380.68
ZAF,2013,53192216.14
ZAF,2014,54058647.34
SSD,2002,7233237
SSD,2003,7499695
SSD,2004,7784488
SSD,2005,8099908
SSD,2006,8445659
SSD,2007,8815495
SSD,2008,9208598
SSD,2009,9623176
SSD,2010,10056475
SSD,2011,10510122
SSD,2012,10980623
SSD,2013,11453810
SSD,2014,11911184
LKA,2002,18939000
LKA,2003,19083000
LKA,2004,19227000
LKA,2005,19373000
LKA,2006,19520000
LKA,2007,19668000
LKA,2008,19817000
LKA,2009,19967000
LKA,2010,20118000
LKA,2011,20270000
LKA,2012,20424000
LKA,2013,20579000
LKA,2014,20771000
KNA,2002,46935
KNA,2003,47681
KNA,2004,48424
KNA,2005,49139
KNA,2006,49818
KNA,2007,50465
KNA,2008,51093
KNA,2009,51717
KNA,2010,52352
KNA,2011,52998
KNA,2012,53650
KNA,2013,54301
KNA,2014,54944
LCA,2002,160218
LCA,2003,161767
LCA,2004,163462
LCA,2005,165407
LCA,2006,167656
LCA,2007,170146
LCA,2008,172729
LCA,2009,175196
LCA,2010,177397
LCA,2011,179278
LCA,2012,180890
LCA,2013,182305
LCA,2014,183645
VCT,2002,108150
VCT,2003,108354
VCT,2004,108563
VCT,2005,108749
VCT,2006,108908
VCT,2007,109049
VCT,2008,109165
VCT,2009,109255
VCT,2010,109316
VCT,2011,109341
VCT,2012,109334
VCT,2013,109327
VCT,2014,109360
SDN,2002,29569978
SDN,2003,30365586
SDN,2004,31176209
SDN,2005,31990003
SDN,2006,32809056
SDN,2007,33637960
SDN,2008,34470138
SDN,2009,35297298
SDN,2010,36114885
SDN,2011,36918193
SDN,2012,37712420
SDN,2013,38515095
SDN,2014,39350274
SUR,2002,486271
SUR,2003,487641
SUR,2004,489312
SUR,2005,491999
SUR,2006,495953
SUR,2007,500953
SUR,2008,506657
SUR,2009,512522
SUR,2010,518141
SUR,2011,523439
SUR,2012,528535
SUR,2013,533450
SUR,2014,538248
SWZ,2002,1082195
SWZ,2003,1087949
SWZ,2004,1094775
SWZ,2005,1104642
SWZ,2006,1118204
SWZ,2007,1134853
SWZ,2008,1153750
SWZ,2009,1173529
SWZ,2010,1193148
SWZ,2011,1212458
SWZ,2012,1231694
SWZ,2013,1250641
SWZ,2014,1269112
SYR,2002,16997521
SYR,2003,17304339
SYR,2004,17671913
SYR,2005,18132842
SYR,2006,18728200
SYR,2007,19425597
SYR,2008,20097057
SYR,2009,20566871
SYR,2010,20720602
SYR,2011,20501167
SYR,2012,19978756
SYR,2013,19322593
SYR,2014,18772481
TJK,2002,6406518
TJK,2003,6532871
TJK,2004,6666628
TJK,2005,6805655
TJK,2006,6949566
TJK,2007,7099021
TJK,2008,7254072
TJK,2009,7414960
TJK,2010,7581696
TJK,2011,7753925
TJK,2012,7930929
TJK,2013,8111894
TJK,2014,8295840
TZA,2002,35855480
TZA,2003,36866228
TZA,2004,37935334
TZA,2005,39065600
TZA,2006,40260847
TZA,2007,41522004
TZA,2008,42844744
TZA,2009,44222113
TZA,2010,45648525
TZA,2011,47122998
TZA,2012,48645709
TZA,2013,50213457
TZA,2014,51822621
THA,2002,64136669
THA,2003,64817254
THA,2004,65404522
THA,2005,65863973
THA,2006,66174486
THA,2007,66353572
THA,2008,66453255
THA,2009,66548197
THA,2010,66692024
THA,2011,66902958
THA,2012,67164130
THA,2013,67451422
THA,2014,67725979
TLS,2002,894837
TLS,2003,929431
TLS,2004,962634
TLS,2005,979201
TLS,2006,996052
TLS,2007,1013194
TLS,2008,1030630
TLS,2009,1048367
TLS,2010,1066409
TLS,2011,1120392
TLS,2012,1148958
TLS,2013,1180069
TLS,2014,1212107
TGO,2002,5142419
TGO,2003,5283246
TGO,2004,5428552
TGO,2005,5578219
TGO,2006,5732175
TGO,2007,5890414
TGO,2008,6052937
TGO,2009,6219761
TGO,2010,6390851
TGO,2011,6566179
TGO,2012,6745581
TGO,2013,6928719
TGO,2014,7115163
TON,2002,99005
TON,2003,99606
TON,2004,100226
TON,2005,100858
TON,2006,101507
TON,2007,102169
TON,2008,102816
TON,2009,103416
TON,2010,103947
TON,2011,104392
TON,2012,104769
TON,2013,105139
TON,2014,105586
TTO,2002,1277840
TTO,2003,1284052
TTO,2004,1290535
TTO,2005,1296933
TTO,2006,1303141
TTO,2007,1309260
TTO,2008,1315372
TTO,2009,1321624
TTO,2010,1328095
TTO,2011,1334790
TTO,2012,1341579
TTO,2013,1348240
TTO,2014,1354483
TUN,2002,9748900
TUN,2003,9839800
TUN,2004,9932400
TUN,2005,10029000
TUN,2006,10127900
TUN,2007,10225100
TUN,2008,10328900
TUN,2009,10439600
TUN,2010,10547100
TUN,2011,10673800
TUN,2012,10777500
TUN,2013,10886500
TUN,2014,10996600
TUR,2002,65125766
TUR,2003,66060121
TUR,2004,66973561
TUR,2005,67860617
TUR,2006,68704721
TUR,2007,69515492
TUR,2008,70344357
TUR,2009,71261307
TUR,2010,72310416
TUR,2011,73517002
TUR,2012,74849187
TUR,2013,76223639
TUR,2014,77523788
TKM,2002,4600172
TKM,2003,4648036
TKM,2004,4696876
TKM,2005,4747839
TKM,2006,4801594
TKM,2007,4858235
TKM,2008,4917541
TKM,2009,4978960
TKM,2010,5041995
TKM,2011,5106672
TKM,2012,5172941
TKM,2013,5240088
TKM,2014,5307188
TCA,2002,21740
TCA,2003,23412
TCA,2004,25025
TCA,2005,26450
TCA,2006,27642
TCA,2007,28638
TCA,2008,29481
TCA,2009,30247
TCA,2010,30993
TCA,2011,31727
TCA,2012,32430
TCA,2013,33103
TCA,2014,33740
TUV,2002,9530
TUV,2003,9590
TUV,2004,9646
TUV,2005,9694
TUV,2006,9732
TUV,2007,9764
TUV,2008,9788
TUV,2009,9808
TUV,2010,9827
TUV,2011,9844
TUV,2012,9860
TUV,2013,9876
TUV,2014,9893
UGA,2002,25355794
UGA,2003,26217760
UGA,2004,27114742
UGA,2005,28042413
UGA,2006,29000925
UGA,2007,29991958
UGA,2008,31014427
UGA,2009,32067125
UGA,2010,33149417
UGA,2011,34260342
UGA,2012,35400620
UGA,2013,36573387
UGA,2014,37782971
UKR,2002,48202500
UKR,2003,47812950
UKR,2004,47451600
UKR,2005,47105150
UKR,2006,46787750
UKR,2007,46509350
UKR,2008,46258200
UKR,2009,46053300
UKR,2010,45870700
UKR,2011,45706100
UKR,2012,45593300
UKR,2013,45489600
UKR,2014,45362900
ARE,2002,3394060
ARE,2003,3625798
ARE,2004,3975945
ARE,2005,4481976
ARE,2006,5171255
ARE,2007,6010100
ARE,2008,6900142
ARE,2009,7705423
ARE,2010,8329453
ARE,2011,8734722
ARE,2012,8952542
ARE,2013,9039978
ARE,2014,9086139
URY,2002,3327770
URY,2003,3325637
URY,2004,3324096
URY,2005,3325608
URY,2006,3331041
URY,2007,3339750
URY,2008,3350832
URY,2009,3362761
URY,2010,3374414
URY,2011,3385610
URY,2012,3396753
URY,2013,3407969
URY,2014,3419516
UZB,2002,25271850
UZB,2003,25567650
UZB,2004,25864350
UZB,2005,26167000
UZB,2006,26488250
UZB,2007,26868000
UZB,2008,27302800
UZB,2009,27767400
UZB,2010,28562400
UZB,2011,29339400
UZB,2012,29774500
UZB,2013,30243200
UZB,2014,30757700
VUT,2002,193957
VUT,2003,198963
VUT,2004,204144
VUT,2005,209375
VUT,2006,214635
VUT,2007,219956
VUT,2008,225335
VUT,2009,230782
VUT,2010,236299
VUT,2011,241876
VUT,2012,247498
VUT,2013,253165
VUT,2014,258883
VEN,2002,25399143
VEN,2003,25857553
VEN,2004,26314483
VEN,2005,26769115
VEN,2006,27221228
VEN,2007,27670659
VEN,2008,28116716
VEN,2009,28558607
VEN,2010,28995745
VEN,2011,29427631
VEN,2012,29854238
VEN,2013,30276045
VEN,2014,30693827
VNM,2002,79537700
VNM,2003,80467400
VNM,2004,81436400
VNM,2005,82392100
VNM,2006,83311200
VNM,2007,84218500
VNM,2008,85118700
VNM,2009,86025000
VNM,2010,86932500
VNM,2011,87860300
VNM,2012,88809200
VNM,2013,89759500
VNM,2014,90728900
PSE,2002,3075373
PSE,2003,3154969
PSE,2004,3236626
PSE,2005,3320396
PSE,2006,3406334
PSE,2007,3494496
PSE,2008,3596688
PSE,2009,3702218
PSE,2010,3811102
PSE,2011,3927051
PSE,2012,4046901
PSE,2013,4169506
PSE,2014,4294682
YEM,2002,18832097
YEM,2003,19374012
YEM,2004,19931617
YEM,2005,20504385
YEM,2006,21093973
YEM,2007,21701105
YEM,2008,22322699
YEM,2009,22954226
YEM,2010,23591972
YEM,2011,24234940
YEM,2012,24882792
YEM,2013,25533217
YEM,2014,26183676
ZMB,2002,11139978
ZMB,2003,11426006
ZMB,2004,11725635
ZMB,2005,12043591
ZMB,2006,12381509
ZMB,2007,12738676
ZMB,2008,13114579
ZMB,2009,13507849
ZMB,2010,13917439
ZMB,2011,14343526
ZMB,2012,14786581
ZMB,2013,15246086
ZMB,2014,15721343
ZWE,2002,12691431
ZWE,2003,12774162
ZWE,2004,12867828
ZWE,2005,12984418
ZWE,2006,13127942
ZWE,2007,13297798
ZWE,2008,13495462
ZWE,2009,13720997
ZWE,2010,13973897
ZWE,2011,14255592
ZWE,2012,14565482
ZWE,2013,14898092
ZWE,2014,15245855
